"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
35,"technician","married","secondary","no",4508,"yes","no","cellular",18,"nov",854,1,-1,0,"unknown","yes"
34,"self-employed","single","tertiary","no",5462,"no","no","cellular",30,"apr",430,1,-1,0,"unknown","yes"
32,"blue-collar","married","secondary","no",889,"yes","no","cellular",10,"sep",185,1,99,5,"success","yes"
61,"admin.","married","secondary","no",4608,"no","no","cellular",12,"mar",212,1,-1,0,"unknown","yes"
77,"retired","married","tertiary","no",7802,"no","no","telephone",4,"may",421,1,92,2,"success","yes"
53,"admin.","married","secondary","no",1796,"no","no","telephone",16,"mar",295,1,91,2,"success","yes"
46,"admin.","married","secondary","no",22,"no","no","cellular",26,"aug",388,6,-1,0,"unknown","yes"
44,"technician","single","secondary","no",244,"yes","no","cellular",12,"aug",1735,4,-1,0,"unknown","yes"
19,"student","single","primary","no",103,"no","no","cellular",10,"jul",104,2,-1,0,"unknown","yes"
30,"blue-collar","single","secondary","no",315,"no","no","cellular",23,"jun",1407,1,-1,0,"unknown","yes"
52,"technician","married","secondary","no",195,"yes","no","cellular",18,"feb",220,1,63,5,"failure","yes"
36,"blue-collar","married","primary","no",1925,"yes","no","cellular",20,"apr",904,2,-1,0,"unknown","yes"
47,"admin.","single","secondary","no",3696,"no","no","cellular",12,"jul",250,2,181,4,"success","yes"
43,"management","single","tertiary","no",1304,"no","no","cellular",6,"aug",501,2,-1,0,"unknown","yes"
41,"blue-collar","married","secondary","yes",720,"no","yes","cellular",24,"jul",651,1,-1,0,"unknown","yes"
28,"technician","single","secondary","no",227,"no","no","cellular",30,"apr",278,1,-1,0,"unknown","yes"
32,"services","single","secondary","no",2881,"no","no","cellular",2,"jul",356,1,-1,0,"unknown","yes"
41,"self-employed","married","tertiary","no",231,"no","no","cellular",7,"aug",352,2,-1,0,"unknown","yes"
35,"technician","married","tertiary","no",7050,"no","no","cellular",11,"aug",222,3,182,4,"success","yes"
30,"management","single","tertiary","no",2,"yes","yes","cellular",25,"jul",1031,8,-1,0,"unknown","yes"
58,"self-employed","divorced","tertiary","no",1382,"no","no","unknown",9,"jun",700,1,-1,0,"unknown","yes"
27,"management","single","tertiary","no",703,"yes","no","unknown",5,"jun",590,3,-1,0,"unknown","yes"
39,"management","married","tertiary","no",2763,"yes","no","unknown",2,"jun",526,2,-1,0,"unknown","yes"
46,"self-employed","married","secondary","no",548,"no","no","cellular",12,"aug",1181,4,-1,0,"unknown","yes"
28,"management","single","tertiary","no",0,"yes","no","cellular",16,"jul",767,5,-1,0,"unknown","yes"
38,"technician","single","tertiary","no",25,"yes","no","cellular",1,"jun",232,2,-1,0,"unknown","yes"
28,"services","single","secondary","no",168,"no","no","cellular",1,"jun",347,3,140,2,"success","yes"
32,"management","divorced","tertiary","no",874,"no","no","cellular",12,"aug",1282,6,-1,0,"unknown","yes"
59,"retired","married","unknown","no",1033,"no","no","unknown",11,"jun",1199,1,-1,0,"unknown","yes"
35,"self-employed","divorced","tertiary","no",1354,"yes","no","unknown",23,"may",736,2,-1,0,"unknown","yes"
50,"management","married","tertiary","no",3463,"no","yes","cellular",28,"oct",96,1,-1,0,"unknown","yes"
36,"technician","married","secondary","no",480,"no","no","cellular",20,"oct",213,1,-1,0,"unknown","yes"
28,"management","single","secondary","no",1633,"no","no","cellular",5,"jun",275,1,-1,0,"unknown","yes"
55,"retired","married","primary","no",3334,"no","no","cellular",14,"aug",632,4,-1,0,"unknown","yes"
48,"management","married","tertiary","no",1167,"yes","yes","cellular",1,"jun",264,1,-1,0,"unknown","yes"
29,"blue-collar","single","secondary","no",908,"yes","no","unknown",20,"jun",1663,1,-1,0,"unknown","yes"
34,"management","married","tertiary","no",703,"yes","no","cellular",14,"apr",342,1,-1,0,"unknown","yes"
43,"management","married","tertiary","no",1429,"yes","no","cellular",19,"nov",1015,1,198,2,"other","yes"
47,"blue-collar","married","secondary","no",1996,"no","no","unknown",5,"jun",761,2,-1,0,"unknown","yes"
39,"services","single","secondary","no",7066,"yes","no","cellular",15,"may",667,3,357,3,"other","yes"
55,"housemaid","divorced","primary","no",976,"no","no","cellular",28,"jun",345,1,94,3,"other","yes"
46,"management","divorced","tertiary","no",624,"no","no","cellular",17,"sep",336,2,183,2,"success","yes"
41,"admin.","single","secondary","no",1020,"yes","no","unknown",19,"may",882,1,-1,0,"unknown","yes"
31,"housemaid","single","primary","no",26965,"no","no","cellular",21,"apr",654,2,-1,0,"unknown","yes"
26,"admin.","single","secondary","no",255,"no","no","cellular",30,"apr",457,1,80,1,"success","yes"
60,"technician","married","primary","no",65,"yes","no","unknown",9,"may",1028,2,-1,0,"unknown","yes"
27,"student","single","tertiary","no",5291,"no","no","cellular",12,"nov",192,2,92,2,"failure","yes"
28,"services","single","secondary","no",198,"no","no","cellular",5,"jul",128,2,-1,0,"unknown","yes"
34,"blue-collar","divorced","unknown","no",172,"no","no","cellular",15,"jun",177,1,-1,0,"unknown","yes"
34,"management","married","tertiary","no",0,"yes","no","cellular",7,"aug",262,1,99,2,"success","yes"
40,"blue-collar","married","secondary","no",1451,"no","no","cellular",1,"jun",314,1,-1,0,"unknown","yes"
41,"technician","married","secondary","no",1066,"no","no","cellular",11,"feb",109,3,-1,0,"unknown","yes"
33,"management","single","tertiary","no",3143,"no","no","cellular",29,"jun",421,2,-1,0,"unknown","yes"
58,"self-employed","married","primary","no",1013,"yes","no","cellular",11,"aug",206,1,461,1,"failure","yes"
34,"blue-collar","single","secondary","no",215,"no","no","cellular",3,"mar",350,3,-1,0,"unknown","yes"
43,"management","divorced","tertiary","no",388,"yes","no","unknown",8,"may",2087,2,-1,0,"unknown","yes"
59,"self-employed","married","tertiary","no",2013,"no","no","cellular",19,"feb",222,4,94,2,"success","yes"
37,"admin.","married","tertiary","no",3913,"yes","no","cellular",27,"apr",124,1,-1,0,"unknown","yes"
45,"technician","single","secondary","no",410,"yes","no","unknown",30,"may",891,4,-1,0,"unknown","yes"
49,"blue-collar","married","secondary","no",-454,"yes","no","cellular",14,"may",558,1,-1,0,"unknown","yes"
53,"retired","married","secondary","no",665,"yes","no","cellular",22,"apr",371,2,-1,0,"unknown","yes"
42,"technician","married","secondary","no",994,"yes","no","cellular",11,"aug",149,1,78,5,"failure","yes"
45,"admin.","married","secondary","no",5346,"yes","yes","unknown",21,"oct",187,1,-1,0,"unknown","yes"
56,"retired","married","secondary","no",1044,"no","no","telephone",3,"jul",353,2,-1,0,"unknown","yes"
55,"blue-collar","divorced","secondary","no",1613,"yes","no","cellular",3,"apr",296,1,270,3,"failure","yes"
34,"services","married","secondary","no",1337,"no","no","cellular",17,"dec",330,2,127,3,"success","yes"
63,"entrepreneur","married","secondary","no",3904,"no","no","telephone",4,"aug",250,2,187,2,"success","yes"
48,"management","married","tertiary","no",1147,"no","no","cellular",5,"aug",389,1,64,2,"success","yes"
36,"blue-collar","married","secondary","no",1049,"yes","no","cellular",14,"may",224,4,-1,0,"unknown","yes"
54,"unknown","married","secondary","no",2206,"no","no","cellular",12,"nov",104,1,99,2,"other","yes"
38,"admin.","married","tertiary","no",1988,"no","no","cellular",27,"mar",164,2,130,2,"failure","yes"
33,"blue-collar","married","secondary","no",661,"yes","no","cellular",18,"jul",968,1,-1,0,"unknown","yes"
59,"technician","married","secondary","no",1,"no","no","cellular",15,"apr",159,2,378,3,"failure","yes"
37,"technician","married","secondary","no",480,"no","no","cellular",22,"oct",344,2,182,8,"other","yes"
37,"technician","married","unknown","no",189,"no","no","cellular",1,"oct",238,1,107,2,"success","yes"
57,"retired","married","tertiary","no",0,"yes","yes","unknown",28,"may",648,1,-1,0,"unknown","yes"
60,"management","divorced","tertiary","no",366,"no","no","cellular",3,"jun",593,1,-1,0,"unknown","yes"
44,"admin.","married","secondary","no",205,"no","no","cellular",3,"nov",289,1,-1,0,"unknown","yes"
32,"technician","single","tertiary","no",5514,"no","no","cellular",22,"apr",319,1,182,1,"success","yes"
33,"management","married","tertiary","no",273,"yes","no","unknown",16,"may",803,1,-1,0,"unknown","yes"
28,"self-employed","single","tertiary","no",4579,"no","no","cellular",12,"jan",409,2,-1,0,"unknown","yes"
37,"management","married","tertiary","no",5106,"no","no","cellular",30,"apr",244,1,-1,0,"unknown","yes"
31,"technician","married","tertiary","no",636,"yes","no","cellular",4,"may",352,4,-1,0,"unknown","yes"
34,"services","married","secondary","no",1076,"no","no","cellular",12,"may",152,1,182,6,"success","yes"
54,"retired","divorced","tertiary","no",0,"no","no","unknown",13,"may",618,1,-1,0,"unknown","yes"
61,"management","married","tertiary","no",6016,"no","no","cellular",2,"feb",670,3,-1,0,"unknown","yes"
36,"management","single","tertiary","no",490,"no","no","cellular",28,"aug",207,8,98,1,"failure","yes"
75,"retired","divorced","secondary","no",1341,"no","no","cellular",18,"dec",415,7,-1,0,"unknown","yes"
60,"blue-collar","married","primary","no",493,"no","no","cellular",18,"aug",671,4,-1,0,"unknown","yes"
54,"unknown","married","unknown","no",895,"no","no","cellular",7,"oct",335,1,-1,0,"unknown","yes"
27,"technician","single","secondary","no",158,"no","no","unknown",1,"jul",650,2,-1,0,"unknown","yes"
41,"management","divorced","tertiary","no",5037,"no","no","cellular",23,"apr",252,9,185,5,"other","yes"
46,"admin.","divorced","secondary","no",2232,"no","no","cellular",13,"feb",121,1,-1,0,"unknown","yes"
31,"management","married","tertiary","no",2603,"yes","no","cellular",11,"feb",280,4,-1,0,"unknown","yes"
32,"management","single","tertiary","no",41,"no","no","cellular",21,"aug",686,5,-1,0,"unknown","yes"
59,"retired","divorced","secondary","no",5845,"no","no","cellular",14,"may",1060,2,-1,0,"unknown","yes"
42,"management","married","unknown","no",1519,"no","no","cellular",19,"oct",230,1,92,1,"success","yes"
80,"retired","married","secondary","no",8304,"no","no","telephone",9,"jun",712,1,64,12,"failure","yes"
49,"management","married","secondary","no",1623,"yes","no","cellular",19,"nov",1081,2,-1,0,"unknown","yes"
45,"admin.","married","secondary","no",204,"yes","no","cellular",3,"jun",224,2,-1,0,"unknown","yes"
32,"management","single","tertiary","no",311,"no","no","unknown",12,"may",757,2,-1,0,"unknown","yes"
27,"admin.","married","secondary","no",710,"yes","yes","cellular",6,"may",653,1,334,2,"success","yes"
47,"technician","married","secondary","no",1233,"yes","no","unknown",11,"sep",91,1,100,2,"other","yes"
28,"management","single","secondary","no",171,"no","no","cellular",10,"mar",93,1,-1,0,"unknown","yes"
83,"retired","married","primary","no",425,"no","no","telephone",22,"jun",883,1,140,1,"failure","yes"
46,"admin.","married","secondary","no",368,"no","no","cellular",20,"aug",293,1,90,4,"other","yes"
38,"technician","married","tertiary","no",3234,"no","no","cellular",18,"nov",578,2,-1,0,"unknown","yes"
35,"blue-collar","single","secondary","no",0,"yes","no","cellular",16,"apr",1174,1,345,4,"other","yes"
38,"services","single","secondary","no",2253,"yes","no","cellular",13,"may",937,3,-1,0,"unknown","yes"
36,"management","married","tertiary","no",495,"no","no","cellular",5,"aug",157,3,97,2,"success","yes"
59,"retired","single","secondary","no",351,"yes","no","unknown",27,"may",1063,5,-1,0,"unknown","yes"
64,"retired","married","secondary","no",1574,"no","no","telephone",29,"jul",301,3,-1,0,"unknown","yes"
77,"retired","married","tertiary","no",0,"no","no","cellular",16,"oct",847,1,60,1,"success","yes"
56,"housemaid","divorced","primary","yes",1238,"no","no","unknown",5,"jun",1558,1,-1,0,"unknown","yes"
32,"technician","single","tertiary","no",4665,"yes","no","unknown",21,"may",860,2,-1,0,"unknown","yes"
31,"management","married","tertiary","no",1224,"yes","yes","cellular",24,"jul",1441,2,-1,0,"unknown","yes"
45,"services","single","primary","no",1893,"yes","no","unknown",3,"jun",1259,6,-1,0,"unknown","yes"
36,"management","married","tertiary","no",2987,"yes","no","cellular",12,"aug",307,1,-1,0,"unknown","yes"
31,"blue-collar","married","secondary","no",1766,"no","yes","cellular",5,"jun",166,2,-1,0,"unknown","yes"
53,"services","divorced","secondary","no",0,"no","no","cellular",12,"mar",80,2,-1,0,"unknown","yes"
59,"technician","married","secondary","no",259,"no","no","cellular",15,"jun",415,1,89,1,"success","yes"
29,"technician","single","secondary","no",113,"no","no","cellular",12,"feb",328,2,183,4,"success","yes"
46,"technician","married","secondary","no",57,"no","no","unknown",28,"may",796,1,-1,0,"unknown","yes"
47,"admin.","divorced","secondary","no",225,"no","no","cellular",28,"aug",1126,4,-1,0,"unknown","yes"
42,"admin.","divorced","secondary","no",936,"no","no","cellular",30,"jan",931,1,-1,0,"unknown","yes"
33,"technician","married","secondary","no",133,"no","no","cellular",4,"may",218,1,-1,0,"unknown","yes"
54,"management","divorced","tertiary","no",2171,"yes","yes","telephone",18,"nov",1034,1,-1,0,"unknown","yes"
28,"student","single","tertiary","no",1562,"no","no","cellular",15,"feb",659,4,-1,0,"unknown","yes"
42,"management","divorced","unknown","no",7702,"no","no","cellular",16,"feb",138,2,-1,0,"unknown","yes"
49,"management","single","tertiary","no",151,"yes","no","cellular",8,"jul",97,3,-1,0,"unknown","yes"
46,"management","divorced","tertiary","no",1297,"no","no","cellular",11,"aug",716,3,-1,0,"unknown","yes"
39,"self-employed","single","tertiary","no",426,"no","no","unknown",18,"jun",1029,1,-1,0,"unknown","yes"
53,"blue-collar","married","primary","no",306,"no","no","cellular",28,"jul",388,3,181,1,"success","yes"
52,"blue-collar","divorced","primary","no",-191,"yes","no","unknown",15,"may",755,1,-1,0,"unknown","yes"
47,"services","single","unknown","no",1784,"no","no","cellular",19,"oct",385,2,-1,0,"unknown","yes"
32,"technician","single","secondary","no",0,"no","no","cellular",18,"aug",594,4,-1,0,"unknown","yes"
37,"technician","single","secondary","no",2442,"no","no","cellular",16,"feb",91,3,-1,0,"unknown","yes"
43,"admin.","married","secondary","no",132,"no","no","cellular",19,"aug",574,1,84,3,"success","yes"
31,"management","single","tertiary","no",3283,"no","no","cellular",2,"feb",258,1,73,1,"failure","yes"
35,"management","single","tertiary","no",5958,"yes","no","cellular",22,"mar",215,1,-1,0,"unknown","yes"
25,"student","single","secondary","no",304,"no","no","cellular",26,"may",226,2,-1,0,"unknown","yes"
32,"blue-collar","single","secondary","no",118,"yes","no","cellular",17,"jul",1275,1,-1,0,"unknown","yes"
46,"admin.","married","secondary","no",70,"yes","no","cellular",27,"mar",229,2,-1,0,"unknown","yes"
48,"management","married","secondary","no",4415,"yes","no","cellular",8,"apr",1032,3,141,7,"failure","yes"
34,"technician","married","tertiary","no",197,"no","no","cellular",20,"aug",78,3,-1,0,"unknown","yes"
53,"admin.","single","secondary","no",2398,"yes","no","cellular",2,"aug",317,1,180,2,"failure","yes"
40,"admin.","single","secondary","no",100,"yes","no","cellular",11,"aug",221,1,461,1,"success","yes"
49,"housemaid","married","primary","no",889,"no","no","telephone",7,"jul",388,1,-1,0,"unknown","yes"
49,"admin.","married","secondary","no",197,"yes","no","cellular",13,"apr",223,1,182,2,"failure","yes"
29,"management","single","tertiary","no",1445,"no","no","cellular",26,"apr",328,2,143,2,"success","yes"
38,"technician","married","secondary","no",226,"yes","no","unknown",30,"may",762,3,-1,0,"unknown","yes"
35,"technician","married","secondary","no",0,"yes","no","cellular",9,"nov",524,1,96,5,"success","yes"
57,"blue-collar","married","secondary","no",2887,"no","no","cellular",21,"aug",819,10,-1,0,"unknown","yes"
51,"management","single","tertiary","no",297,"yes","no","cellular",15,"may",415,4,375,1,"failure","yes"
31,"management","married","tertiary","no",156,"no","no","cellular",13,"aug",657,7,-1,0,"unknown","yes"
39,"technician","divorced","tertiary","yes",3,"no","no","cellular",6,"may",488,1,-1,0,"unknown","yes"
54,"management","married","tertiary","no",8295,"no","no","cellular",5,"jun",207,1,-1,0,"unknown","yes"
51,"self-employed","married","secondary","no",95,"yes","no","cellular",23,"jul",1309,4,-1,0,"unknown","yes"
34,"management","single","tertiary","no",2646,"no","no","cellular",14,"apr",142,1,-1,0,"unknown","yes"
47,"blue-collar","married","secondary","no",1230,"yes","no","cellular",30,"apr",412,1,169,1,"success","yes"
34,"admin.","married","secondary","no",247,"no","no","cellular",8,"oct",401,2,-1,0,"unknown","yes"
26,"blue-collar","single","primary","no",-887,"yes","no","cellular",18,"may",827,2,-1,0,"unknown","yes"
39,"technician","divorced","secondary","no",902,"yes","no","cellular",10,"feb",691,2,180,5,"failure","yes"
42,"management","married","tertiary","no",1205,"no","no","telephone",8,"sep",376,2,-1,0,"unknown","yes"
40,"management","single","tertiary","no",1361,"no","no","cellular",29,"jan",1473,1,-1,0,"unknown","yes"
28,"student","single","tertiary","no",0,"no","no","cellular",28,"sep",294,2,105,7,"other","yes"
46,"management","married","tertiary","no",273,"yes","no","cellular",18,"mar",910,2,184,4,"success","yes"
48,"housemaid","married","primary","no",7195,"no","no","cellular",21,"nov",609,2,-1,0,"unknown","yes"
30,"services","single","tertiary","no",-477,"no","yes","cellular",21,"aug",1532,2,-1,0,"unknown","yes"
29,"management","single","tertiary","no",1026,"no","no","cellular",12,"nov",226,1,92,1,"other","yes"
53,"unemployed","married","primary","no",980,"yes","no","cellular",3,"dec",352,1,-1,0,"unknown","yes"
71,"retired","married","primary","no",4657,"no","no","cellular",16,"feb",93,5,-1,0,"unknown","yes"
22,"student","single","primary","no",3472,"no","no","cellular",20,"oct",332,1,183,3,"failure","yes"
27,"technician","single","secondary","no",489,"yes","no","cellular",30,"jul",356,4,-1,0,"unknown","yes"
27,"student","single","secondary","no",213,"no","no","cellular",27,"mar",378,1,-1,0,"unknown","yes"
42,"services","divorced","secondary","no",257,"yes","no","cellular",12,"may",955,2,-1,0,"unknown","yes"
41,"admin.","divorced","secondary","no",6046,"yes","yes","telephone",15,"mar",300,6,182,2,"success","yes"
25,"unemployed","single","tertiary","no",343,"no","no","cellular",1,"jun",377,1,-1,0,"unknown","yes"
44,"technician","single","secondary","no",7138,"no","no","cellular",8,"aug",809,2,-1,0,"unknown","yes"
37,"entrepreneur","divorced","tertiary","no",66,"no","no","cellular",18,"nov",1164,2,-1,0,"unknown","yes"
44,"management","married","primary","no",4758,"yes","no","cellular",22,"jul",712,6,-1,0,"unknown","yes"
74,"retired","divorced","secondary","no",4079,"no","no","cellular",19,"oct",343,3,-1,0,"unknown","yes"
40,"management","single","tertiary","no",0,"yes","no","cellular",23,"feb",228,2,182,6,"failure","yes"
34,"technician","single","tertiary","no",925,"yes","no","cellular",13,"apr",709,1,-1,0,"unknown","yes"
59,"management","married","primary","no",1727,"no","no","telephone",25,"may",500,4,358,2,"failure","yes"
41,"blue-collar","divorced","primary","no",664,"no","yes","cellular",15,"jul",955,5,-1,0,"unknown","yes"
30,"management","married","tertiary","no",1942,"yes","yes","cellular",21,"nov",436,2,178,3,"other","yes"
59,"technician","married","primary","no",4198,"no","no","cellular",14,"jan",309,1,91,10,"success","yes"
31,"admin.","single","secondary","no",747,"yes","no","unknown",26,"may",543,2,-1,0,"unknown","yes"
48,"technician","married","secondary","no",568,"yes","no","cellular",2,"sep",378,2,386,1,"success","yes"
47,"technician","married","secondary","no",1167,"yes","no","cellular",30,"apr",968,1,87,5,"failure","yes"
33,"blue-collar","single","secondary","no",697,"no","no","cellular",6,"feb",860,2,-1,0,"unknown","yes"
30,"management","single","tertiary","no",201,"yes","no","cellular",17,"mar",325,2,-1,0,"unknown","yes"
38,"management","single","tertiary","no",104,"yes","no","cellular",6,"may",606,3,-1,0,"unknown","yes"
33,"management","married","tertiary","no",1412,"yes","no","unknown",19,"aug",480,1,-1,0,"unknown","yes"
62,"retired","divorced","tertiary","no",0,"no","no","cellular",13,"nov",227,2,-1,0,"unknown","yes"
48,"unemployed","married","secondary","no",817,"no","no","cellular",14,"jan",517,1,282,4,"success","yes"
41,"admin.","married","primary","no",-306,"yes","no","unknown",15,"may",500,1,-1,0,"unknown","yes"
35,"housemaid","married","tertiary","no",1265,"yes","no","cellular",15,"may",326,5,179,4,"failure","yes"
47,"housemaid","single","tertiary","no",3727,"no","no","unknown",12,"jun",993,6,-1,0,"unknown","yes"
37,"management","married","tertiary","no",4089,"yes","no","cellular",2,"feb",289,2,174,4,"other","yes"
62,"management","married","tertiary","no",1859,"no","no","telephone",6,"aug",245,3,-1,0,"unknown","yes"
33,"services","married","secondary","no",386,"no","no","cellular",12,"nov",253,1,92,4,"failure","yes"
40,"services","married","secondary","no",1836,"yes","no","cellular",12,"may",750,2,-1,0,"unknown","yes"
28,"blue-collar","single","secondary","no",-46,"yes","no","cellular",1,"sep",199,1,92,14,"success","yes"
43,"entrepreneur","married","secondary","no",104,"yes","no","cellular",18,"jul",635,3,-1,0,"unknown","yes"
23,"entrepreneur","single","primary","no",4,"yes","no","unknown",13,"may",395,2,-1,0,"unknown","yes"
29,"management","married","tertiary","no",199,"yes","yes","unknown",7,"may",1689,4,-1,0,"unknown","yes"
34,"management","married","tertiary","no",3301,"yes","no","cellular",17,"jun",485,2,227,4,"failure","yes"
24,"student","single","secondary","no",822,"no","no","cellular",27,"oct",184,1,91,2,"failure","yes"
44,"technician","married","secondary","no",2776,"yes","no","cellular",27,"jan",701,1,-1,0,"unknown","yes"
33,"blue-collar","married","secondary","no",139,"yes","yes","cellular",18,"may",732,2,291,5,"failure","yes"
24,"services","married","secondary","no",4500,"yes","no","cellular",11,"may",733,2,-1,0,"unknown","yes"
37,"management","married","tertiary","no",238,"no","no","cellular",3,"feb",185,1,92,1,"success","yes"
41,"management","married","tertiary","no",326,"yes","no","cellular",5,"may",788,1,-1,0,"unknown","yes"
35,"admin.","single","secondary","no",0,"yes","no","cellular",13,"may",1073,1,-1,0,"unknown","yes"
32,"blue-collar","married","secondary","no",1905,"yes","no","cellular",16,"jul",709,2,-1,0,"unknown","yes"
27,"services","single","secondary","no",54,"yes","no","unknown",28,"may",543,2,-1,0,"unknown","yes"
30,"management","married","tertiary","no",102,"yes","no","cellular",5,"apr",470,7,426,3,"other","yes"
37,"technician","single","secondary","no",-242,"yes","no","cellular",13,"aug",1149,6,-1,0,"unknown","yes"
43,"services","single","secondary","no",3403,"yes","no","cellular",12,"nov",707,2,97,2,"success","yes"
